trcode,block,no,field,type,size,extra,descriptions
OVC,InBlock,1,symbol,char,8,,종목코드
OVC,OutBlock,1,symbol,char,8,,종목코드
OVC,OutBlock,2,ovsdate,char,8,,체결일자(현지)
OVC,OutBlock,3,kordate,char,8,,체결일자(한국)
OVC,OutBlock,4,trdtm,char,6,,체결시간(현지)
OVC,OutBlock,5,kortm,char,6,,체결시간(한국)
OVC,OutBlock,6,curpr,double,15.9,,체결가격
OVC,OutBlock,7,ydiffpr,double,15.9,,전일대비
OVC,OutBlock,8,ydiffSign,char,1,,전일대비기호
OVC,OutBlock,9,open,double,15.9,,시가
OVC,OutBlock,10,high,double,15.9,,고가
OVC,OutBlock,11,low,double,15.9,,저가
OVC,OutBlock,12,chgrate,float,6.2,,등락율
OVC,OutBlock,13,trdq,long,10,,건별체결수량
OVC,OutBlock,14,totq,char,15,,누적체결수량
OVC,OutBlock,15,cgubun,char,1,,체결구분
OVC,OutBlock,16,mdvolume,char,15,,매도누적체결수량
OVC,OutBlock,17,msvolume,char,15,,매수누적체결수량
OVC,OutBlock,18,ovsmkend,char,8,,장마감일
OVH,InBlock,1,symbol,char,8,,종목코드
OVH,OutBlock,1,symbol,char,8,,종목코드
OVH,OutBlock,2,hotime,char,6,,호가시간
OVH,OutBlock,3,offerho1,double,15.9,,매도호가1
OVH,OutBlock,4,bidho1,double,15.9,,매수호가1
OVH,OutBlock,5,offerrem1,long,10,,매도호가잔량1
OVH,OutBlock,6,bidrem1,long,10,,매수호가잔량1
OVH,OutBlock,7,offerno1,long,10,,매도호가건수1
OVH,OutBlock,8,bidno1,long,10,,매수호가건수1
OVH,OutBlock,9,offerho2,double,15.9,,매도호가2
OVH,OutBlock,10,bidho2,double,15.9,,매수호가2
OVH,OutBlock,11,offerrem2,long,10,,매도호가잔량2
OVH,OutBlock,12,bidrem2,long,10,,매수호가잔량2
OVH,OutBlock,13,offerno2,long,10,,매도호가건수2
OVH,OutBlock,14,bidno2,long,10,,매수호가건수2
OVH,OutBlock,15,offerho3,double,15.9,,매도호가3
OVH,OutBlock,16,bidho3,double,15.9,,매수호가3
OVH,OutBlock,17,offerrem3,long,10,,매도호가잔량3
OVH,OutBlock,18,bidrem3,long,10,,매수호가잔량3
OVH,OutBlock,19,offerno3,long,10,,매도호가건수3
OVH,OutBlock,20,bidno3,long,10,,매수호가건수3
OVH,OutBlock,21,offerho4,double,15.9,,매도호가4
OVH,OutBlock,22,bidho4,double,15.9,,매수호가4
OVH,OutBlock,23,offerrem4,long,10,,매도호가잔량4
OVH,OutBlock,24,bidrem4,long,10,,매수호가잔량4
OVH,OutBlock,25,offerno4,long,10,,매도호가건수4
OVH,OutBlock,26,bidno4,long,10,,매수호가건수4
OVH,OutBlock,27,offerho5,double,15.9,,매도호가5
OVH,OutBlock,28,bidho5,double,15.9,,매수호가5
OVH,OutBlock,29,offerrem5,long,10,,매도호가잔량5
OVH,OutBlock,30,bidrem5,long,10,,매수호가잔량5
OVH,OutBlock,31,offerno5,long,10,,매도호가건수5
OVH,OutBlock,32,bidno5,long,10,,매수호가건수5
OVH,OutBlock,33,totoffercnt,long,10,,매도호가총건수
OVH,OutBlock,34,totbidcnt,long,10,,매수호가총건수
